heroId,chain
1000000022162,kaia
1000000022208,dfkchain
1000000022219,dfkchain
1000000022241,kaia
1000000022302,dfkchain
1000000022315,dfkchain
1000000022327,dfkchain
1000000022393,dfkchain
1000000022403,kaia
1000000022432,dfkchain
1000000022442,dfkchain
1000000022565,dfkchain
1000000022571,dfkchain
1000000022575,dfkchain
1000000022609,dfkchain
1000000022622,dfkchain
1000000022635,dfkchain
1000000022674,dfkchain
1000000022701,dfkchain
1000000022714,dfkchain
1000000022731,dfkchain
1000000022744,dfkchain
1000000022758,dfkchain
1000000022783,dfkchain
1000000022790,dfkchain
1000000022791,dfkchain
1000000022803,kaia
1000000022812,kaia
1000000022816,dfkchain
1000000022823,dfkchain
1000000022844,dfkchain
1000000022861,dfkchain
1000000022867,dfkchain
1000000022875,dfkchain
1000000022887,dfkchain
1000000022888,dfkchain
1000000022965,dfkchain
1000000022975,dfkchain
1000000023000,dfkchain
1000000023027,dfkchain
1000000023031,dfkchain
1000000023094,dfkchain
1000000023100,dfkchain
1000000023105,dfkchain
1000000023122,dfkchain
1000000023144,dfkchain
1000000023206,dfkchain
1000000023213,dfkchain
1000000023223,dfkchain
1000000023240,dfkchain
1000000023271,dfkchain
1000000023272,dfkchain
1000000023297,dfkchain
1000000023306,dfkchain
1000000023310,dfkchain
1000000023332,dfkchain
1000000023343,kaia
1000000023426,dfkchain
1000000023448,dfkchain
1000000023449,dfkchain
1000000023453,dfkchain
1000000023498,dfkchain
1000000023500,dfkchain
1000000023514,dfkchain
1000000023618,dfkchain
1000000023621,dfkchain
1000000023624,dfkchain
1000000023653,kaia
1000000023732,dfkchain
1000000023793,dfkchain
1000000023801,dfkchain
1000000023816,dfkchain
1000000023888,dfkchain
1000000023908,dfkchain
1000000023913,dfkchain
1000000023914,dfkchain
1000000023922,dfkchain
1000000023955,dfkchain
1000000023966,dfkchain
1000000024011,dfkchain
1000000024040,dfkchain
1000000024045,dfkchain
1000000024056,dfkchain
1000000024096,dfkchain
1000000024205,dfkchain
1000000024223,dfkchain
1000000024251,dfkchain
1000000024269,dfkchain
1000000024276,dfkchain
1000000024281,dfkchain
1000000024328,dfkchain
1000000024330,dfkchain
1000000024377,dfkchain
1000000024417,dfkchain
1000000024439,kaia
1000000024440,kaia
1000000024473,dfkchain
1000000024541,dfkchain
1000000024601,dfkchain
1000000024623,dfkchain
1000000024650,dfkchain
1000000024673,dfkchain
1000000024684,dfkchain
1000000024732,kaia
1000000024772,dfkchain
1000000024776,kaia
1000000024782,dfkchain
1000000024887,dfkchain
1000000024899,dfkchain
1000000024906,dfkchain
1000000024922,dfkchain
1000000024930,dfkchain
1000000024935,dfkchain
1000000024937,dfkchain
1000000024955,dfkchain
1000000024981,dfkchain
1000000025016,dfkchain
1000000025083,dfkchain
1000000025097,dfkchain
1000000025154,dfkchain
1000000025197,kaia
1000000025205,dfkchain
1000000025230,dfkchain
1000000025318,dfkchain
1000000025320,dfkchain
1000000025347,dfkchain
1000000025355,dfkchain
1000000025356,dfkchain
1000000025360,dfkchain
1000000025365,dfkchain
1000000025370,dfkchain
1000000025373,dfkchain
1000000025376,dfkchain
1000000025379,dfkchain
1000000025410,dfkchain
1000000025486,dfkchain
1000000025496,dfkchain
1000000025497,dfkchain
1000000025505,dfkchain
1000000025521,dfkchain
1000000025524,dfkchain
1000000025528,dfkchain
1000000025553,dfkchain
1000000025624,dfkchain
1000000025637,dfkchain
1000000025716,dfkchain
1000000025724,dfkchain
1000000025785,dfkchain
1000000025802,dfkchain
1000000025830,kaia
1000000025858,dfkchain
1000000025878,dfkchain
1000000025885,dfkchain
1000000025956,dfkchain
1000000026036,dfkchain
1000000026085,dfkchain
1000000026090,dfkchain
1000000026099,kaia
1000000026102,dfkchain
1000000026106,dfkchain
1000000026124,kaia
1000000026128,dfkchain
1000000026294,dfkchain
1000000026482,dfkchain
1000000026532,dfkchain
1000000026579,dfkchain
1000000026724,dfkchain
1000000026764,dfkchain
1000000026809,dfkchain
1000000026821,dfkchain
1000000026825,dfkchain
1000000026832,dfkchain
1000000026837,dfkchain
1000000026907,dfkchain
1000000026919,dfkchain
1000000026946,dfkchain
1000000027020,kaia
1000000027045,dfkchain
1000000027053,dfkchain
1000000027062,dfkchain
1000000027086,dfkchain
1000000027096,dfkchain
1000000027100,dfkchain
1000000027137,dfkchain
1000000027139,dfkchain
1000000027142,dfkchain
1000000027163,kaia
1000000027192,dfkchain
1000000027228,dfkchain
1000000027236,kaia
1000000027254,dfkchain
1000000027279,dfkchain
1000000027283,dfkchain
1000000027290,dfkchain
1000000027378,dfkchain
1000000027381,dfkchain
1000000027389,dfkchain
1000000027475,dfkchain
1000000027520,dfkchain
1000000027527,dfkchain
1000000027548,dfkchain
1000000027579,kaia
1000000027604,dfkchain
1000000027660,dfkchain
1000000027663,dfkchain
1000000027689,dfkchain
1000000027695,dfkchain
1000000027757,dfkchain
1000000027816,dfkchain
1000000027822,dfkchain
1000000027928,kaia
1000000027964,dfkchain
1000000027981,dfkchain
1000000028023,dfkchain
1000000028030,dfkchain
1000000028032,dfkchain
1000000028053,dfkchain
1000000028092,dfkchain
1000000028140,dfkchain
1000000028144,dfkchain
1000000028190,dfkchain
1000000028226,dfkchain
1000000028236,dfkchain
1000000028243,dfkchain
1000000028295,dfkchain
1000000028314,dfkchain
1000000028326,dfkchain
1000000028330,dfkchain
1000000028348,dfkchain
1000000028389,dfkchain
1000000028405,dfkchain
1000000028418,dfkchain
1000000028516,dfkchain
1000000028560,dfkchain
1000000028587,kaia
1000000028597,kaia
1000000028647,dfkchain
1000000028706,dfkchain
1000000028718,kaia
1000000028789,dfkchain
1000000028796,dfkchain
1000000028801,dfkchain
1000000028810,dfkchain
1000000028842,dfkchain
1000000028856,dfkchain
1000000028896,dfkchain
1000000028925,dfkchain
1000000029036,dfkchain
1000000029069,dfkchain
1000000029197,dfkchain
1000000029232,dfkchain
1000000029250,dfkchain
1000000029255,dfkchain
1000000029268,dfkchain
1000000029270,dfkchain
1000000029321,dfkchain
1000000029339,dfkchain
1000000029372,dfkchain
1000000029432,kaia
1000000029476,dfkchain
1000000029544,dfkchain
1000000029559,dfkchain
1000000029587,dfkchain
1000000029597,dfkchain
1000000029716,dfkchain
1000000029772,dfkchain
1000000029794,dfkchain
1000000029886,dfkchain
1000000029898,dfkchain
1000000029958,dfkchain
1000000029970,dfkchain
1000000029971,dfkchain
1000000029973,dfkchain
1000000029974,dfkchain
1000000030024,dfkchain
1000000030055,dfkchain
1000000030136,dfkchain
1000000030229,dfkchain
1000000030234,dfkchain
1000000030254,dfkchain
1000000030277,dfkchain
1000000030302,dfkchain
1000000030312,dfkchain
1000000030331,dfkchain
1000000030352,dfkchain
1000000030372,dfkchain
1000000030390,dfkchain
1000000030395,dfkchain
1000000030447,dfkchain
1000000030448,dfkchain
1000000030450,kaia
1000000030455,dfkchain
1000000030463,dfkchain
1000000030476,dfkchain
1000000030486,dfkchain
1000000030510,dfkchain
1000000030531,dfkchain
1000000030644,dfkchain
1000000030706,kaia
1000000030758,dfkchain
1000000030786,dfkchain
1000000030829,dfkchain
1000000030851,dfkchain
1000000030860,dfkchain
1000000030871,dfkchain
1000000030948,dfkchain
1000000030956,dfkchain
1000000030975,dfkchain
1000000030984,dfkchain
1000000030985,dfkchain
1000000031014,kaia
1000000031069,dfkchain
1000000031198,dfkchain
1000000031247,dfkchain
1000000031262,kaia
1000000031312,dfkchain
1000000031381,dfkchain
1000000031420,dfkchain
1000000031427,dfkchain
1000000031569,dfkchain
1000000031574,dfkchain
1000000031594,dfkchain
1000000031619,dfkchain
1000000031631,dfkchain
1000000031635,dfkchain
1000000031644,dfkchain
1000000031650,kaia
1000000031688,dfkchain
1000000031747,dfkchain
1000000031782,dfkchain
1000000031817,dfkchain
1000000031850,dfkchain
1000000031858,dfkchain
1000000031945,kaia
1000000031968,dfkchain
1000000032001,dfkchain
1000000032039,kaia
1000000032062,dfkchain
1000000032065,dfkchain
1000000032096,dfkchain
1000000032175,dfkchain
1000000032380,dfkchain
1000000032398,dfkchain
1000000032424,dfkchain
1000000032426,dfkchain
1000000032428,dfkchain
1000000032485,dfkchain
1000000032534,dfkchain
1000000032544,dfkchain
1000000032590,dfkchain
1000000032597,kaia
1000000032599,kaia
1000000032619,dfkchain
1000000032621,kaia
1000000032650,kaia
1000000032657,kaia
1000000032667,dfkchain
1000000032688,dfkchain
1000000032699,kaia
1000000032732,dfkchain
1000000032763,dfkchain
1000000032772,dfkchain
1000000032795,dfkchain
1000000032803,kaia
1000000032859,dfkchain
1000000032867,dfkchain
1000000032895,dfkchain
1000000033228,dfkchain
1000000033237,dfkchain
1000000033265,kaia
1000000033282,dfkchain
1000000033295,dfkchain
1000000033308,dfkchain
1000000033314,kaia
1000000033355,dfkchain
1000000033382,dfkchain
1000000033490,dfkchain
1000000033540,dfkchain
1000000033546,dfkchain
1000000033555,dfkchain
1000000033639,dfkchain
1000000033790,dfkchain
1000000033841,dfkchain
1000000033882,dfkchain
1000000033887,dfkchain
1000000033902,dfkchain
1000000033904,dfkchain
1000000033908,dfkchain
1000000033912,dfkchain
1000000033979,dfkchain
1000000033996,dfkchain
1000000034022,dfkchain
1000000034028,dfkchain
1000000034064,kaia
1000000034089,dfkchain
1000000034102,dfkchain
1000000034123,dfkchain
1000000034135,dfkchain
1000000034141,dfkchain
1000000034168,dfkchain
1000000034319,dfkchain
1000000034334,dfkchain
1000000034338,dfkchain
1000000034349,dfkchain
1000000034359,dfkchain
1000000034432,kaia
1000000034444,dfkchain
1000000034568,dfkchain
1000000034599,dfkchain
1000000034678,dfkchain
1000000034688,dfkchain
1000000034693,kaia
1000000034714,kaia
1000000034773,kaia
1000000034786,dfkchain
1000000034827,dfkchain
1000000034859,dfkchain
1000000034875,kaia
1000000034959,kaia
1000000034981,dfkchain
1000000035007,dfkchain
1000000035037,dfkchain
1000000035075,dfkchain
1000000035080,dfkchain
1000000035095,kaia
1000000035100,dfkchain
1000000035122,dfkchain
1000000035189,dfkchain
1000000035206,dfkchain
1000000035219,dfkchain
1000000035266,dfkchain
1000000035269,dfkchain
1000000035276,dfkchain
1000000035294,dfkchain
1000000035316,dfkchain
1000000035502,dfkchain
1000000035520,dfkchain
1000000035611,dfkchain
1000000035642,dfkchain
1000000035668,dfkchain
1000000035686,dfkchain
1000000035749,dfkchain
1000000035877,kaia
1000000035936,dfkchain
1000000036000,kaia
1000000036013,kaia
1000000036018,dfkchain
1000000036023,dfkchain
1000000036032,dfkchain
1000000036134,dfkchain
1000000036152,dfkchain
1000000036217,dfkchain
1000000036258,dfkchain
1000000036469,dfkchain
1000000036490,dfkchain
1000000036500,dfkchain
1000000036538,dfkchain
1000000036557,dfkchain
1000000036585,kaia
1000000036637,kaia
1000000036644,dfkchain
1000000036690,dfkchain
1000000036693,dfkchain
1000000036728,kaia
